Document Name,Usage Scope,Instruction
Company LOGO.svg,Website Footer,"Use it in the website footer, to indicate that the platform is the company's asset"
Loading.svg,"Loading Page, Start Page","User see this logo on a blank page when entering the website, or while loading"
LaunchFlow Icon.svg,Used as Website Favicon and Place Indicates this Platform,"Favicon, also when place mentions the platform (e.g. when the platform contains information like ""Source: NPI One (or LaunchFlow), use this icon to replace the text instead)"
LaunchFlow-logo_White.svg,"Standard LOGO, used for dark backgraounds",
LaunchFlow-logo_Standard.svg,"Standard LOGO, used for light backgraounds",
